problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio
1901A,0,['this is the og problem'],"['for loop', 'if statement', 'tuple']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a = [0] + a + [x]
        max_val = 0
        for i in range(1, n + 2):
            max_val = max(max_val, a[i] - a[i - 1])
        print(max_val)
",False,True,3,1.0
1901A,1,['for loop'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a = [0] + a + [x] + a[::-1]
        max_val = 0
        for i in range(1, len(a) - 1):
            max_val = max(max_val, a[i + 1] - a[i])
        print(max_val)
",False,False,2,1.0
1901A,2,"['for loop', 'while loop']","['for loop', 'if statement']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a = [0] + a + [x]
        max_val = 0
        for i in range(1, n + 2):
            max_val = max(max_val, a[i] - a[i - 1])
        print(max_val)
",False,False,2,1.0
1901A,3,"['for loop', 'while loop', 'sorting']",['for loop'],"['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'm', ',', '=', '.', 's', 'l', '[', '0', ']', '+', ';', '-', '1', '*', '2', 'x', 'b', 'c', 'd', '_', 'y', 'z', '\t', 'v', '#', '<', '>', '{', 'T', 'w', 'h', '}', 'C', '""', '\\', '/', 'N', 'A', 'R', ""'"", '5', 'k', 'j']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        max_val = max(a)
        max_val = max(max_val, 2 * x - max(a))
        print(max_val)
",False,False,1,1.0
1899A,0,['this is the og problem'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""Second"")
",False,True,2,1.0
1899A,1,['for loop'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""Second"")
",False,False,2,1.0
1899A,2,"['for loop', 'while loop']","['if statement', 'for loop', 'if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""Second"")
",False,False,2,0.5
1899A,3,"['for loop', 'while loop', 'if statement']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        elif n % 3 == 1:
            print(""First"")
        else:
            print(""Second"")
",False,False,2,1.0
1899A,4,"['for loop', 'while loop', 'if statement', 'tuple']","['for loop', 'if statement']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', ""'"", 'F', 's', '%', '3', 'l', 'S', 'c', 'd', '!', '0', '""', 'k', '[', '*', ']', '1', '>', '2', 'm', 'T', '\t', 'R', 'M', 'N', '#', 'x', 'v', 'h', 'b', 'j', '.', '|', 'w', '-', 'D']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3 == 0:
            print(""First"")
        else:
            print(""Second"")
",False,False,2,1.0
1898A,0,['this is the og problem'],"['if statement', 'for loop', 'tuple', 'hashmap']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        b_count = s.count('B')
        if b_count == k:
            print(0)
        elif b_count > k:
            print(1)
            print(1, 'A')
        else:
            print(1 + (k - b_count))
            print(1, 'B')
            for i in range(1, n):
                if s[i] == 'A':
                    print(i + 1, 'B')
                    break
",False,True,4,1.0
1898A,1,['hashmap'],"['if statement', 'for loop', 'while loop', 'binary search']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        b_count = s.count('B')
        if b_count >= k:
            print(0)
        else:
            diff = k - b_count
            start = 0
            end = n - 1
            while start < end:
                mid = (start + end) // 2
                if s[:mid + 1].count('B') >= diff:
                    end = mid
                else:
                    start = mid + 1
            print(start + 1)
            if s[:start].count('B') >= diff:
                print('B')
            else:
                print('A')
            print('1 B')
",False,True,4,1.0
1898A,2,"['hashmap', 'continue statement']","['for loop', 'if statement']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        count = s.count('B')
        if count == k:
            print(0)
        elif count > k:
            print(n - k)
            for i in range(n - k):
                print(i + 1, 'A')
        else:
            print(n - count)
            for i in range(n - count):
                print(i + 1, 'B')
            for i in range(n - count, n):
                print(i + 1, 'A')
",False,True,2,1.0
1898A,3,"['hashmap', 'continue statement', 'for loop']","['for loop', 'if statement']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        b_count = s.count('B')
        if b_count >= k:
            print(0)
        else:
            print(n - b_count + 1)
            for i in range(n - b_count + 1):
                if s[i] == 'A':
                    print(i + 1, 'B')
                else:
                    print(i + 1, 'A')
",False,False,2,1.0
