problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio
1901A,0,['this is the og problem'],['for loop'],"['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a.append(x)
        a.sort()
        ans = 0
        for i in range(n+1):
            if i == 0:
                ans = max(ans, a[i])
            else:
                ans = max(ans, a[i]-a[i-1])
        print(ans*2)
",False,True,0,0.0
1901A,1,['for loop'],"['for loop', 'if statement', 'sorting']","['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import sys
import math

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a.append(x)
        a.sort()
        ans = 0
        for i in range(n + 1):
            ans = max(ans, a[i] - (a[i - 1] if i > 0 else 0))
        print(ans * 2)
",False,False,1,0.3333333333333333
1901A,2,"['for loop', 'while loop']","['if statement', 'for loop', 'tuple', 'sorting']","['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import math

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a.append(x)
        a.sort()
        ans =    0
        for i in range(n):
            ans = max(ans, a[i + 1] - a[i])
        print(ans * 2)
",False,False,1,0.25
1901A,3,"['for loop', 'while loop', 'sorting']","['if statement', 'for loop', 'sorting', 'if statement', 'for loop']","['for loop', 'tuple', 'matrix operation', 'if statement', 'while loop', 'misc', 'hashmap', 'break statement', 'dictionary']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n, x = map(int, input().split())
        a = list(map(int, input().split()))
        a.append(x)
        a.sort()
        ans = 0
        for i in range(n+1):
            if i == 0:
                ans = max(ans, a[i])
            else:
                ans = max(ans, a[i] - a[i-1])
        print(ans*2)

",False,False,1,0.2
1899A,0,['this is the og problem'],"['if statement', 'for loop']","['for loop', 'if statement', 'matrix operation', 'while loop']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3) == 0):
            print(""Second"")
        else:
            print(""First"")

",False,True,0,0.0
1899A,1,['for loop'],"['for loop', 'if statement']","['for loop', 'if statement', 'matrix operation', 'while loop']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        if n % 3) == 0):
            print(""Second"")
        else:
            print(""First"")
",False,False,0,0.0
1899A,2,"['for loop', 'while loop']","['if statement', 'for loop']","['for loop', 'if statement', 'matrix operation', 'while loop']","def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        print(""First"" if n % 3)!= 0 else ""Second"")
",False,False,0,0.0
1899A,3,"['for loop', 'while loop', 'if statement']","['for loop', 'if statement']","['for loop', 'if statement', 'matrix operation', 'while loop']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        print(""First"" if n % 3!= 0 and ""Second"" if n % 3 == 0)

",False,False,0,0.0
1899A,4,"['for loop', 'while loop', 'if statement', 'tuple']",['for loop'],"['for loop', 'if statement', 'matrix operation', 'while loop']","def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        print(""First"" if n % 3)!= 0 else ""Second"")
",False,False,0,0.0
1898A,0,['this is the og problem'],"['if statement', 'for loop', 'tuple']","['if statement', 'for loop', 'tuple', 'continue statement', 'break statement', 'hashmap', 'while loop', 'dictionary', 'misc', 'matrix operation']","import sys
import math

def solve():
    input = sys.stdin.readline
    t = int(input())
    for _ in range(t):
        n, k = map(int, input().split())
        s = input()
        if s.count('B') == k:
            print(0)
        else:
            if s.count('B') > k:
                print(1)
                print(n - s.count('B') + 1, 'A')
            else:
                print(1)
                print(k - s.count('B') + 1, 'B')
",False,True,0,0.0
